en,es
Please turn off the light before you go to bed.,"Apaga la luz antes de acostarte, por favor."
Do you speak Filipino?,¿Hablas filipino?
I rarely watch documentaries.,Rara vez veo documentales.
We ate breakfast at seven.,Desayunamos a las 7.
What's wrong with you?,¿A ti qué te pasa?
"He's not lazy. On the contrary, I think he's a hard worker.","Él no es vago. Al contrario, creo que él es muy esforzado."
Drive on.,Continúa.
Don't go out after dark.,No salgas después de que oscurezca.
He was a pioneer in this field.,Él fue un pionero en este campo.
I don't want to live here.,No quiero vivir acá.
Do you like to see animals at the zoo?,¿Te gusta ver animales en el zoológico?
I gave up on the idea of buying a house.,He abandonado la idea de comprar una casa.
I'm an archaeologist.,Soy arqueólogo.
You are responsible for the death of the child.,Tú eres responsable por la muerte del niño.
I am not deaf.,No soy sordo.
She screamed when she saw the snake.,Ella gritó cuando vio la serpiente.
I don't like beer that much.,No me gusta tanto la cerveza.
We never work on Sunday.,Nunca trabajamos los domingos.
We're in agreement.,Estamos en un acuerdo.
I wonder if what I wrote was correct.,Me pregunto si lo que he escrito era correcto.
Tom pointed at something on the ground.,Tom señaló algo en el suelo.
What do you want to do?,¿Qué quiere hacer?
Tom bought Mary a nice present.,Tom le compró a Mary un lindo obsequio.
"He was very tall and slim, with long arms and legs.","Él era muy alto y delgado, con brazos y piernas largos."
There are only two correct answers.,Hay solo dos respuestas correctas.
What forms do we need to file?,¿Qué formularios tenemos que archivar?
He had nothing to do with the case.,Él no tenía nada que ver con el caso.
It was necessary to find a guide for the trip.,Hubo que buscar un guía para el viaje.
It is a good cake.,Es una buena torta.
I'm being good to you this morning.,Estoy siendo bueno con ustedes esta mañana.
Do you think Tom is unsociable?,¿Creés que Tomás es asocial?
Even my mom knows.,Hasta mi mamá sabe.
The boy lay on the sofa.,El niño estaba echado encima del sofá.
Tom is paying attention to his budget.,Tom está prestando atención a su presupuesto.
His mistake was intentional.,Su error fue voluntario.
I ordered a book from London.,Encargué un libro de Londres.
Cook for me.,Cocíname.
I had sore legs the next day.,Al día siguiente me dolían las piernas.
The children went to school in spite of the rain.,Los niños fueron a clases a pesar de la lluvia.
The danger is apparently over.,El peligro aparentemente ha terminado.
"Sorry, something went wrong.","Lo lamento, algo salió mal."
What will become of the child?,¿Qué será del niño?
What is all this?,¿Qué es todo esto?
It's merely a joke.,Es sólo una broma.
Don't let anyone come near the fire.,No dejes que nadie se acerque al fuego.
Give us some space.,Danos espacio.
Do you mean you don't know what happened?,¿Quieres decir que ignoras lo que pasó?
How do you like Japan?,¿Qué te parece Japón?
Potatoes are very cheap.,Las papas son muy baratas.
I spent twelve hours on the train.,Pasé doce horas en el tren.
I drank from the tap.,Yo tomé del grifo.
Why did she come home early?,¿Por qué vino pronto a casa?
What did you have for lunch today?,¿Qué almorzaste hoy?
We needed help.,Necesitábamos ayuda.
Tom isn't as old as he looks.,Tom no es tan viejo como parece.
The workers are on strike.,Los trabajadores están en huelga.
I'll eat something light.,Comeré algo ligero.
"What is your name, sir?","¿Cuál es su nombre, señor?"
Saturday is when my father is free.,El sábado es cuando mi padre está libre.
I do my homework after school.,Hago mi tarea después de clases.
Tom is sweating heavily.,Tom está sudando con intensidad.
How many do you need?,¿Cuántas necesitas?
Nobody wants it.,Nadie quiere eso.
I'm familiar with the situation.,Estoy familiarizada con la situación.
Now you're an adult.,Ahora eres un adulto.
Can you help me get out of here?,¿Me puede ayudar a salir de aquí?
She handed him his jacket.,Ella le tendió la chaqueta.
He came without notice.,Vino sin avisar.
Will you please explain the meaning of this sentence to me?,¿Me explicarías por favor el significado de esa frase?
Are you sure you don't want to go with us?,¿Estás seguro de que no quieres ir con nosotros?
Tom hopes to inherit a lot of money when his mother dies.,Tom espera heredar mucho dinero cuando su madre muera.
We want you to be the team captain.,Queremos que seas el capitán del equipo.
I speak Portuguese fluently.,Hablo portugués con fluidez.
Can I take a picture of you?,¿Te puedo tomar una foto?
Tell me your version of the events.,Contame tu versión de los hechos.
I knew you were OK.,Sabía que estabas bien.
Today's math class was more interesting than usual.,"La clase de matemáticas de hoy, fue más divertida de lo usual."
I gave way to their demands.,Cedí a sus demandas.
What newspaper do you subscribe to?,¿A qué diario estás suscrito?
I'm a Japanese teacher.,Soy profesora de japonés.
I'm very short of money.,Estoy muy corto de dinero.
We wanted to do it right away.,Lo queríamos hacer en seguida.
Tom ran as fast as he could to escape from the angry bear.,Tom corrió tan rápido como pudo para escapar del oso furioso.
I was going to ask for a volunteer.,Iba a pedir un voluntario.
Where are you going to vacation this summer?,¿Dónde vas a ir de vacaciones este verano?
The old woman gave me two interesting books.,La anciana me dio dos libros interesantes.
None of his advice was very useful.,Ninguno de sus consejos fue muy útil.
I think it's highly unlikely that Tom will show up today.,Creo que es muy improbable que Tom aparezca hoy.
He is serving a three-year sentence for burglary.,Está cumpliendo una sentencia de tres años por robo.
Tom's boss demands a lot of work.,El jefe de Tom exige mucho trabajo.
I couldn't get rid of my doubt about it.,No pude despejar mi duda con respecto a eso.
I know you'd never do that intentionally.,Sé que tú jamás harías eso a propósito.
Mary is Tom's sister-in-law.,Mary es la cuñada de Tom.
Tom took his computer in to be repaired.,Tom llevó a que repararan su computador.
That's a very witty phrase.,Esa frase tiene mucho ingenio.
Just relax a moment.,Relájate un momento.
Everyone knows that he's still alive.,Todo el mundo sabe que él está aún vivo.
Write down each word.,Anota cada palabra.
Tom accelerated.,Tom aceleró.
It's as simple as that.,Es tan simple como eso.
There's a lot of big game in that forest.,En esa selva hay mucha caza mayor.
I have no idea where he lives.,No tengo idea de dónde vive.
Tell Tom I love him.,Decile a Tom que lo amo.
Where did you spend your holidays?,¿Dónde has pasado las vacaciones?
I feed my dog once a day.,Alimento a mi perro una vez al día.
Tom looked deeply into Mary's eyes and smiled.,Tom miró profundamente a María a los ojos y sonrió.
Whose friend is he?,¿Él es amigo de quién?
His mother is worried about him.,Su madre está preocupada por él.
He drew a straight line on the wall.,Trazó una línea recta en la pared.
She could read when she was four.,Ella sabía leer a los 4 años de edad.
I don't have a car anymore.,Ya no tengo auto.
He teaches us English.,Él nos enseña inglés.
We want to learn some Spanish songs.,Queremos aprender algunas canciones en español.
The plane flew above the clouds.,El avión volaba por encima de las nubes.
"Last year, there was a bad harvest.",El año pasado hubo una mala cosecha.
We're not going.,Nosotros no vamos.
His overcoat is worn out.,Su gabardina está desgastada.
I already know what happened.,Ya sé lo que pasó.
Tom sat on a stool in the corner.,Tom se sentó en un taburete en la esquina.
We measured the depth of the river.,Nosotros medimos la profundidad del río.
Why don't we have enough food for everyone? I thought you went shopping this afternoon.,¿Por qué no tenemos suficiente comida para todo el mundo? Pensaba que habías ido a comprar esta tarde.
The tower leaned slightly to the west.,La torre estaba un poco inclinada hacia el oeste.
Come here this minute.,Ven aquí ahora mismo.
Where are the boys?,¿Dónde están los chicos?
An F-14 is a U.S. Air Force plane.,El F-14 es un avión de las fuerzas aéreas estadounidenses.
When are we eating? I'm hungry!,¿Cuándo comemos? ¡Tengo hambre!
You need to listen to that.,Necesitas escuchar eso.
Mary giggled.,Mary soltó una risita.
Thanks for the correction.,Gracias por la corrección.
What you say does not make any sense to me.,Lo que tú dices no me hace ningún sentido.
"His brother is married, but he doesn't have children.","Su hermano es casado, pero no tiene hijos."
Tom can't believe that Mary thinks it's OK to let John take the blame.,Tom no puede creer que Mary piense que sea correcto dejar que John asuma la culpa.
She almost fainted.,Ella casi se desmayó.
"When I was young, I tried to read as many books as I could.",Cuando yo era joven intentaba leer tantos libros como pudiera.
Stop interfering.,Deja de interferir.
The hijacker demanded a ransom of two million dollars.,El secuestrador pidió un rescate de dos millones de dólares.
Tom was trying not to panic.,Tom estaba tratando de no entrar en pánico.
Tom is preparing supper.,Tom está preparando la cena.
I'm not used to this kind of food.,No estoy acostumbrada a este tipo de comida.
"Tom, be careful you don't fall in the hole.","Tom, ten cuidado de no caerte al agujero."
Tom didn't clap after Mary's performance.,Tom no aplaudió después de la actuación de Mary.
We're trying to have a serious discussion here.,Estamos tratando de tener una discusión seria.
Can you find your way all right?,¿Podrás encontrar el camino sin dificultad?
People threw eggs at the politician.,Le tiraron huevos al político.
She said goodbye.,Ella dijo adiós.
We have to gather information.,Tenemos que reunir información.
What would your father think?,¿Qué pensaría tu padre?
It might rain before evening.,Podría llover antes de la noche.
Man is the only animal that blushes. Or needs to.,El hombre es el único animal que se sonroja. O que necesita hacerlo.
What's your favorite song to dance to?,¿Cuál es tu canción preferida para bailar?
Make room for the baggage.,Haga sitio para el equipaje.
We barely had time to do everything that had to be done.,Apenas tuvimos tiempo para hacer todo lo que había que hacer.
Tom was surprised that Mary had changed so much.,Tom quedó sorprendido de que Mary haya cambiado tanto.
The classroom was so noisy I didn't hear my name called.,Hacía tanto ruido en el salón que no oí mi nombre.
I use the Internet as a resource for my research.,Uso internet como fuente para mi investigación.
I'll come back Monday.,Volveré el lunes.
You can use the hotel's swimming pool.,Puedes usar la piscina del hotel.
You're a funny girl.,Eres una niña divertida.
My camera is different from yours.,Mi cámara es diferente a la tuya.
It is a book.,Esto es un libro.
My right foot is sleeping.,Se me durmió el pie derecho.
He told me not to tell lies.,Me dijo que no contara mentiras.
Tom spends a majority of his time helping Mary.,Tom pasa la mayoría de su tiempo ayudando a Mary.
"If it were not for books, life would be boring.",La vida sería aburrida de no ser por los libros.
I'm just a kid.,Soy solo un niño.
Tom has a nicer car than I do.,Tom tiene un coche mucho mejor que el mío.
May I borrow your dictionary?,¿Me puedes prestar el diccionario?
Where were you that night?,¿Dónde estuvisteis esa noche?
Could you tell me how to get to Osaka station?,¿Me podría indicar cómo llegar a la estación de Osaka?
